resolved_url,FRSM-13-R1-CESSDA-1,FRSM-13-R1-CESSDA-2,FRSM-13-R1-CESSDA-3,FRSM-15-R1.1-CESSDA-1,FRSM-15-R1.1-CESSDA-2,FRSM-15-R1.1-CESSDA-3
https://github.com/cessda/cessda.cvs.contentguide,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.metadata.profiles,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.cdc.versions,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.cafe.waiter,fail,pass,pass,pass,fail,fail
https://github.com/cessda/maintenance.notification,fail,fail,fail,fail,fail,fail
https://github.com/cessda/cessda.cdc.aggregator.oai-pmh-repo-handler,fail,fail,pass,pass,fail,fail
https://github.com/cessda/cessda.cafe.coffee.carsten,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.cdc.aggregator.doc-store,fail,fail,pass,pass,fail,fail
https://github.com/cessda/cessda.documentation.theme,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.metadata.harvester,fail,pass,pass,pass,pass,pass
https://github.com/cessda/cessda.training-resources.issues,fail,fail,fail,fail,fail,fail
https://github.com/cessda/cessda.cmv,fail,pass,pass,pass,fail,fail
https://github.com/cessda/cessda.code.nesstar,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.twitter.api.stats,fail,fail,pass,pass,fail,fail
https://github.com/cessda/cessda.cmv.console,fail,pass,pass,pass,pass,pass
https://github.com/cessda/cessda.cdc.aggregator.client,fail,fail,pass,pass,pass,fail
https://github.com/cessda/cessda.resource-directory.issues,fail,fail,fail,fail,fail,fail
https://github.com/cessda/cessda.cvs.userguide,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.cmv.documentation,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.cdc.osmh-indexer.cmm,fail,pass,pass,pass,pass,pass
https://github.com/cessda/cessda.code.dataverse,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.cmv.core,fail,pass,pass,pass,pass,pass
https://github.com/cessda/cessda.cdc.fuji.runner,fail,pass,pass,pass,fail,fail
https://github.com/cessda/cessda.cdc.aggregator.shared-library,fail,fail,pass,pass,fail,fail
https://github.com/cessda/cessda.cdc.userguide,fail,fail,fail,pass,pass,fail
https://github.com/cessda/eqb.colectica.issues,fail,fail,fail,fail,fail,fail
https://github.com/cessda/cessda.cdc.aggregator.devguide,fail,fail,fail,fail,fail,fail
https://github.com/cessda/cessda.cvs.two,fail,pass,pass,pass,pass,pass
https://github.com/cessda/cessda.cdc.searchkit,pass,pass,pass,pass,fail,fail
https://github.com/cessda/cessda.cafe.cashier,fail,fail,fail,pass,fail,fail
https://github.com/cessda/cessda.dmeg-dag.issues,fail,fail,fail,fail,fail,fail
https://github.com/cessda/cessda.cmv.server,fail,pass,pass,pass,pass,pass
https://github.com/cessda/cessda.guidelines.public,fail,fail,fail,pass,fail,fail
